"lang"
{
"Language"	"brazilian"
"Tokens"
{
"DOTA_WearableType_Daggers"	"Adagas"
"[english]DOTA_WearableType_Daggers"	"Daggers"
"DOTA_WearableType_Glaives"	"Alabardas"
"[english]DOTA_WearableType_Glaives"	"Glaives"
"DOTA_WearableType_Weapon"	"Arma"
"[english]DOTA_WearableType_Weapon"	"Mace"
"DOTA_WearableType_Armor"	"Armadura"
"[english]DOTA_WearableType_Armor"	"armor"
"DOTA_WearableType_Hair"	"Cabelo"
"[english]DOTA_WearableType_Hair"	"Hair"
"DOTA_WearableType_Belt"	"Cinto"
"[english]DOTA_WearableType_Belt"	"belt"
"DOTA_WearableType_Mask"	"Máscara"
"[english]DOTA_WearableType_Mask"	"Mask"
"DOTA_WearableType_Cape"	"Capa"
"[english]DOTA_WearableType_Cape"	"Cape"
"DOTA_WearableType_Bracer"	"Braçadeira"
"[english]DOTA_WearableType_Bracer"	"Bracer"
"DOTA_WearableType_Boots"	"Botas"
"[english]DOTA_WearableType_Boots"	"Boots"
"DOTA_WearableType_Hands"	"Mãos"
"[english]DOTA_WearableType_Hands"	"Hands"
"DOTA_WearableType_Head"	"Cabeça"
"[english]DOTA_WearableType_Head"	"head"
"DOTA_WearableType_Mace"	"Maça"
"[english]DOTA_WearableType_Mace"	"Mace"
"DOTA_WearableType_Gauntlet"	"Manopla"
"[english]DOTA_WearableType_Gauntlet"	"Gauntlet"
"DOTA_WearableType_Shoulder"	"Ombro"
"[english]DOTA_WearableType_Shoulder"	"shoulder"
"DOTA_WearableType_Bow"	"Arco"
"[english]DOTA_WearableType_Bow"	"Bow"
"DOTA_WearableType_ShoulderPads"	"Ombreiras"
"[english]DOTA_WearableType_ShoulderPads"	"Shoulderpads"
"DOTA_WearableType_Quiver"	"Aljava"
"[english]DOTA_WearableType_Quiver"	"Quiver"
"DOTA_WearableType_Shield"	"Escudo"
"[english]DOTA_WearableType_Shield"	"Shield"
"DOTA_WearableType_Horns"	"Chifres"
"[english]DOTA_WearableType_Horns"	"Horns"
"DOTA_WearableType_Beard"	"Barba"
"[english]DOTA_WearableType_Beard"	"Beard"
"DOTA_WearableType_Necklace"	"Colar"
"[english]DOTA_WearableType_Necklace"	"Necklace"
"DOTA_WearableType_Fish_Treat"	"Petisco de Peixe"
"[english]DOTA_WearableType_Fish_Treat"	"Fish Treat"
"DOTA_WearableType_Meathook"	"Gancho"
"[english]DOTA_WearableType_Meathook"	"Meathook"
"DOTA_WearableType_Offhand_weapon"	"Arma Secundária"
"[english]DOTA_WearableType_Offhand_weapon"	"Offhand Weapon"
"DOTA_WearableType_Back"	"Costas"
"[english]DOTA_WearableType_Back"	"back"
"DOTA_WearableType_Gloves"	"Luvas"
"[english]DOTA_WearableType_Gloves"	"Gloves"
"DOTA_WearableType_Legs"	"Pernas"
"[english]DOTA_WearableType_Legs"	"Legs"
"DOTA_WearableType_offhand"	"Secundário"
"[english]DOTA_WearableType_offhand"	"offhand"
"DOTA_WearableType_arms"	"Braços"
"[english]DOTA_WearableType_arms"	"Arms"
"DOTA_WearableType_Unnamed_New_Item"	"Novo Item"
"[english]DOTA_WearableType_Unnamed_New_Item"	"New Item"
"DOTA_WearableType_New_Item"	"Novo Item"
"[english]DOTA_WearableType_New_Item"	"New Item"
"DOTA_WearableType_body"	"Corpo"
"[english]DOTA_WearableType_body"	"Body"
"DOTA_WearableType_Tail"	"Cauda"
"[english]DOTA_WearableType_Tail"	"Tail"
"DOTA_WearableType_Pauldrons"	"Espaldeiras"
"[english]DOTA_WearableType_Pauldrons"	"Pauldrons"
"DOTA_WearableType_Chain_Weapon"	"Arma com Correntes"
"[english]DOTA_WearableType_Chain_Weapon"	"Chain Weapon"
"DOTA_WearableType_Helm"	"Capacete"
"[english]DOTA_WearableType_Helm"	"Helm"
"DOTA_WearableType_Pegleg"	"Prótese Improvisada"
"[english]DOTA_WearableType_Pegleg"	"Makeshift Prosthetic"
"DOTA_WearableType_Sword"	"Espada"
"[english]DOTA_WearableType_Sword"	"Sword"
"DOTA_WearableType_Hat"	"Chapéu"
"[english]DOTA_WearableType_Hat"	"Hat"
"DOTA_WearableType_Ability_Modifier"	"Modificador de Habilidade"
"[english]DOTA_WearableType_Ability_Modifier"	"Ability Modifier"
"DOTA_WearableType_Toga"	"Toga"
"[english]DOTA_WearableType_Toga"	"Toga"
"DOTA_WearableType_Hand"	"Mão"
"[english]DOTA_WearableType_Hand"	"Hand"
"DOTA_WearableType_Taunt"	"Provocação"
"[english]DOTA_WearableType_Taunt"	"Taunt"
"DOTA_WearableType_Skin"	"Pele"
"[english]DOTA_WearableType_Skin"	"Skin"
"DOTA_WearableType_Alternate_Ultimate"	"Ultimate Alternativo"
"[english]DOTA_WearableType_Alternate_Ultimate"	"Alternate Ultimate"
"DOTA_WearableType_Alternate_Attack"	"Ataque Alternativo"
"[english]DOTA_WearableType_Alternate_Attack"	"Alternate Attack"
"DOTA_WearableType_Pauldron"	"Espaldeira"
"[english]DOTA_WearableType_Pauldron"	"Pauldron"
"DOTA_WearableType_Spaulder"	"Ombreira"
"[english]DOTA_WearableType_Spaulder"	"Spaulder"
"DOTA_WearableType_Squishy_Hat"	"Chapéu Esponjoso"
"[english]DOTA_WearableType_Squishy_Hat"	"Squishy Hat"
"DOTA_WearableType_Bracers"	"Braçadeiras"
"[english]DOTA_WearableType_Bracers"	"Bracers"
"DOTA_WearableType_Robe"	"Túnica"
"[english]DOTA_WearableType_Robe"	"Robe"
"DOTA_WearableType_Headdress"	"Cocar"
"[english]DOTA_WearableType_Headdress"	"Headdress"
"DOTA_WearableType_Mailed_Skirt"	"Saia de Malha"
"[english]DOTA_WearableType_Mailed_Skirt"	"Mailed Skirt"
"DOTA_WearableType_Hat_and_Hair"	"Chapéu e Cabelo"
"[english]DOTA_WearableType_Hat_and_Hair"	"Hat and Hair"
"DOTA_WearableType_Shoes"	"Calçados"
"[english]DOTA_WearableType_Shoes"	"Shoes"
"DOTA_WearableType_Spikes"	"Espinhos"
"[english]DOTA_WearableType_Spikes"	"Spikes"
"DOTA_WearableType_Bone_Helm"	"Elmo de Osso"
"[english]DOTA_WearableType_Bone_Helm"	"Bone Helm"
"DOTA_WearableType_Mine"	"Mina"
"[english]DOTA_WearableType_Mine"	"Mine"
"DOTA_WearableType_Fins"	"Barbatanas"
"[english]DOTA_WearableType_Fins"	"Fins"
"DOTA_WearableType_Axe"	"Machado"
"[english]DOTA_WearableType_Axe"	"Axe"
"DOTA_WearableType_Shoulder_Guard"	"Ombreira"
"[english]DOTA_WearableType_Shoulder_Guard"	"Shoulder Guard"
"DOTA_WearableType_Cloak_and_Tunic"	"Manto e Túnica"
"[english]DOTA_WearableType_Cloak_and_Tunic"	"Cloak and Tunic"
"DOTA_WearableType_Hammer"	"Martelo"
"[english]DOTA_WearableType_Hammer"	"Hammer"
"DOTA_WearableType_Dead_Shark"	"Tubarão Morto"
"[english]DOTA_WearableType_Dead_Shark"	"Dead Shark"
"DOTA_WearableType_Finished_Lunch"	"Petisco Terminado"
"[english]DOTA_WearableType_Finished_Lunch"	"Finished Lunch"
"DOTA_WearableType_Bone_Club"	"Clava de Osso"
"[english]DOTA_WearableType_Bone_Club"	"Bone Club"
"DOTA_WearableType_Makeshift_Weapon"	"Arma Improvisada"
"[english]DOTA_WearableType_Makeshift_Weapon"	"Makeshift Weapon"
"DOTA_WearableType_Shoulderguard"	"Ombreira"
"[english]DOTA_WearableType_Shoulderguard"	"Shoulderguard"
"DOTA_WearableType_Fancy_Pantaloons"	"Calça Extravagante"
"[english]DOTA_WearableType_Fancy_Pantaloons"	"Fancy Pantaloons"
"DOTA_WearableType_Cloth_Bracer"	"Braçadeira de Pano"
"[english]DOTA_WearableType_Cloth_Bracer"	"Cloth Bracer"
"DOTA_WearableType_Stuffed_Toy"	"Brinquedo de Pelúcia"
"[english]DOTA_WearableType_Stuffed_Toy"	"Stuffed Toy"
"DOTA_WearableType_Staff"	"Cajado"
"[english]DOTA_WearableType_Staff"	"Staff"
"DOTA_WearableType_Gruesome_Trophies"	"Troféus Macabros"
"[english]DOTA_WearableType_Gruesome_Trophies"	"Gruesome Trophies"
"DOTA_WearableType_Hood"	"Capuz"
"[english]DOTA_WearableType_Hood"	"Hood"
"DOTA_WearableType_Shuriken"	"Shuriken"
"[english]DOTA_WearableType_Shuriken"	"Shuriken"
"DOTA_WearableType_Mancatcher"	"Predadora"
"[english]DOTA_WearableType_Mancatcher"	"Mancatcher"
"DOTA_WearableType_Apron"	"Avental"
"[english]DOTA_WearableType_Apron"	"Apron"
"DOTA_WearableType_Armlet"	"Bracelete"
"[english]DOTA_WearableType_Armlet"	"Armlet"
